Date,Open,High,Low,Close,Adj Close,Volume
2012-04-09,18.612499,18.732500,18.605000,18.667500,16.291000,1258800
2012-04-10,18.625000,18.667500,18.350000,18.379999,16.040110,6459200
2012-04-11,18.562500,18.570000,18.459999,18.477501,16.125198,3039600
2012-04-12,18.497499,18.705000,18.485001,18.695000,16.315006,2310800
2012-04-13,18.650000,18.662500,18.492500,18.504999,16.149187,1498000
2012-04-16,18.592501,18.594999,18.400000,18.420000,16.075018,1778400
2012-04-17,18.537500,18.754999,18.507500,18.727501,16.343372,5928000
2012-04-18,18.662500,18.742500,18.645000,18.670000,16.293190,2020800
2012-04-19,18.660000,18.732500,18.447500,18.525000,16.166651,2067600
2012-04-20,18.612499,18.680000,18.549999,18.549999,16.188469,1295600
2012-04-23,18.379999,18.417500,18.295000,18.397499,16.055380,1867200
2012-04-24,18.405001,18.480000,18.355000,18.422501,16.077200,2462800
2012-04-25,18.642500,18.760000,18.635000,18.752501,16.365181,1769200
2012-04-26,18.725000,18.889999,18.725000,18.867500,16.465546,1920400
2012-04-27,18.927500,18.977501,18.855000,18.922501,16.513540,861200
2012-04-30,18.885000,18.897499,18.802500,18.842501,16.443729,1555200
2012-05-01,18.842501,19.049999,18.807501,18.912500,16.504818,2432000
2012-05-02,18.830000,18.932501,18.795000,18.917500,16.509180,1422800
2012-05-03,18.930000,18.940001,18.754999,18.782499,16.391367,1830400
2012-05-04,18.692499,18.695000,18.467501,18.477501,16.125198,1264400
2012-05-07,18.400000,18.532499,18.397499,18.477501,16.125198,1044000
2012-05-08,18.375000,18.434999,18.157499,18.405001,16.061924,1439600
2012-05-09,18.207500,18.415001,18.145000,18.282499,15.955022,3489600
2012-05-10,18.412500,18.427500,18.277500,18.312500,15.981202,1018400
2012-05-11,18.232500,18.450001,18.232500,18.299999,15.970292,1899600
2012-05-14,18.135000,18.242500,18.087500,18.127501,15.819755,2814000
2012-05-15,18.120001,18.245001,18.025000,18.059999,15.760840,3999200
2012-05-16,18.129999,18.184999,17.987499,18.002501,15.710668,14862000
2012-05-17,18.004999,18.025000,17.709999,17.709999,15.455403,2869200
2012-05-18,17.790001,17.830000,17.535000,17.567499,15.331041,2500800
2012-05-21,17.597500,17.927500,17.597500,17.917500,15.636491,3552400
2012-05-22,17.969999,18.062500,17.822500,17.927500,15.645218,1701200
2012-05-23,17.809999,17.995001,17.670000,17.965000,15.677935,2136000
2012-05-24,18.025000,18.042500,17.855000,17.995001,15.704121,3558400
2012-05-25,17.980000,18.010000,17.867500,17.910000,15.629941,1239600
2012-05-29,18.062500,18.162500,17.992500,18.105000,15.800116,2306000
2012-05-30,17.952499,17.969999,17.844999,17.879999,15.603759,2037200
2012-05-31,17.889999,17.922501,17.677500,17.815001,15.547034,2391600
2012-06-01,17.525000,17.590000,17.385000,17.389999,15.176143,2398400
2012-06-04,17.395000,17.465000,17.264999,17.437500,15.217592,2246800
2012-06-05,17.375000,17.537500,17.365000,17.510000,15.280870,1940800
2012-06-06,17.615000,17.882500,17.610001,17.882500,15.605946,3668400
2012-06-07,18.072500,18.072500,17.865000,17.892500,15.614668,1713600
2012-06-08,17.834999,18.017500,17.785000,18.017500,15.723757,1340800
2012-06-11,18.142500,18.162500,17.780001,17.797501,15.531764,2130400
2012-06-12,17.860001,17.982500,17.757500,17.980000,15.691027,1638800
2012-06-13,17.934999,18.025000,17.805000,17.860001,15.586307,2647200
2012-06-14,17.897499,18.084999,17.844999,18.025000,15.730301,1945200
2012-06-15,18.087500,18.215000,18.072500,18.190001,15.874297,1920400
2012-06-18,18.127501,18.327499,18.102501,18.280001,15.952842,1145600
2012-06-19,18.312500,18.440001,18.297501,18.372499,16.098732,2081600
2012-06-20,18.357500,18.395000,18.195000,18.325001,16.057117,2110400
2012-06-21,18.322500,18.340000,17.895000,17.920000,15.702235,1774000
2012-06-22,17.992500,18.077499,17.937500,18.049999,15.816148,2016400
2012-06-25,17.877501,17.879999,17.732500,17.787500,15.586128,3932000
2012-06-26,17.832500,17.907499,17.732500,17.857500,15.647469,4274000
2012-06-27,17.907499,18.035000,17.907499,18.004999,15.776718,1239600
2012-06-28,17.900000,17.950001,17.750000,17.934999,15.715377,1433600
2012-06-29,18.245001,18.385000,18.187500,18.377501,16.103115,2832000
2012-07-02,18.424999,18.440001,18.307501,18.427500,16.146927,2404800
2012-07-03,18.432501,18.577499,18.430000,18.567499,16.269600,1578000
2012-07-05,18.535000,18.629999,18.475000,18.547501,16.252073,1712400
2012-07-06,18.382500,18.417500,18.277500,18.377501,16.103115,1347200
2012-07-09,18.342501,18.379999,18.287500,18.365000,16.092155,2052800
2012-07-10,18.462500,18.485001,18.152500,18.209999,15.956338,2664400
2012-07-11,18.225000,18.254999,18.065001,18.187500,15.936625,1026400
2012-07-12,18.075001,18.195000,17.980000,18.127501,15.884055,1297600
2012-07-13,18.152500,18.407499,18.152500,18.385000,16.109686,4850400
2012-07-16,18.344999,18.415001,18.292500,18.352501,16.081213,1635600
2012-07-17,18.424999,18.495001,18.232500,18.459999,16.175398,4098000
2012-07-18,18.420000,18.642500,18.420000,18.607500,16.304649,2317600
2012-07-19,18.680000,18.775000,18.622499,18.730000,16.411995,3394000
2012-07-20,18.645000,18.655001,18.532499,18.549999,16.254269,1877200
2012-07-23,18.282499,18.410000,18.184999,18.370001,16.096539,1359200
2012-07-24,18.365000,18.377501,18.090000,18.205000,15.951959,1448000
2012-07-25,18.197500,18.250000,18.065001,18.174999,15.925673,2573600
2012-07-26,18.412500,18.485001,18.332500,18.447500,16.164450,1332800
2012-07-27,18.542500,18.840000,18.530001,18.809999,16.482088,2288400
2012-07-30,18.795000,18.902500,18.762501,18.812500,16.484280,2110000
2012-07-31,18.775000,18.827499,18.702499,18.702499,16.387894,16139200
2012-08-01,18.780001,18.807501,18.612499,18.662500,16.352844,2464000
2012-08-02,18.520000,18.652500,18.405001,18.522499,16.230167,3228400
2012-08-03,18.812500,18.920000,18.777500,18.867500,16.532471,1410000
2012-08-06,18.934999,18.982500,18.905001,18.905001,16.565332,1700800
2012-08-07,18.982500,19.065001,18.977501,18.992500,16.642000,1020800
2012-08-08,18.942499,19.025000,18.927500,18.990000,16.639812,1084400
2012-08-09,18.959999,19.042500,18.940001,19.000000,16.648573,1208400
2012-08-10,18.942499,19.047501,18.917500,19.035000,16.679243,1199600
2012-08-13,19.000000,19.045000,18.945000,19.045000,16.688009,1060400
2012-08-14,19.122499,19.127501,19.014999,19.059999,16.701147,1519200
2012-08-15,19.049999,19.112499,19.040001,19.084999,16.723057,1686800
2012-08-16,19.110001,19.250000,19.072500,19.230000,16.850109,1285600
2012-08-17,19.250000,19.275000,19.212500,19.260000,16.876398,3815600
2012-08-20,19.250000,19.262501,19.184999,19.257500,16.874205,1926800
2012-08-21,19.299999,19.360001,19.139999,19.180000,16.806295,1584000
2012-08-22,19.129999,19.242500,19.107500,19.209999,16.832584,2376000
2012-08-23,19.170000,19.172501,19.040001,19.077499,16.716482,1259200
2012-08-24,19.035000,19.232500,19.025000,19.195000,16.819443,1580400
2012-08-27,19.260000,19.285000,19.180000,19.205000,16.828205,1773600
2012-08-28,19.162500,19.250000,19.135000,19.202499,16.826008,2265600
2012-08-29,19.217501,19.250000,19.157499,19.207500,16.830399,1422400
2012-08-30,19.112499,19.129999,19.027500,19.052500,16.694574,1017600
2012-08-31,19.167500,19.227501,19.022499,19.145000,16.775631,1597600
2012-09-04,19.132500,19.182501,19.000000,19.127501,16.760296,1515600
2012-09-05,19.132500,19.182501,19.070000,19.092501,16.729626,2442000
2012-09-06,19.219999,19.447500,19.219999,19.442499,17.036310,1595200
2012-09-07,19.480000,19.514999,19.457500,19.510000,17.095459,1728800
2012-09-10,19.497499,19.514999,19.382500,19.382500,16.983738,1123600
2012-09-11,19.405001,19.485001,19.395000,19.402500,17.001253,5023600
2012-09-12,19.459999,19.482500,19.387501,19.465000,17.056021,2341200
2012-09-13,19.472500,19.809999,19.465000,19.750000,17.305756,2763600
2012-09-14,19.792500,19.930000,19.775000,19.832500,17.378048,2079600
2012-09-17,19.825001,19.862499,19.780001,19.837500,17.382429,1735600
2012-09-18,19.790001,19.857500,19.780001,19.837500,17.382429,1176000
2012-09-19,19.855000,19.892500,19.790001,19.834999,17.380234,1084800
2012-09-20,19.750000,19.834999,19.705000,19.827499,17.373659,1368400
2012-09-21,19.910000,19.915001,19.807501,19.820000,17.367096,1410400
2012-09-24,19.722500,19.799999,19.692499,19.764999,17.318905,1780800
2012-09-25,19.717501,19.754999,19.472500,19.487499,17.152761,1114800
2012-09-26,19.469999,19.480000,19.332500,19.370001,17.049337,1598000
2012-09-27,19.427500,19.597500,19.397499,19.559999,17.216574,1491200
2012-09-28,19.482500,19.532499,19.389999,19.462500,17.130754,1470800
2012-10-01,19.565001,19.682501,19.465000,19.507500,17.170368,3427200
2012-10-02,19.575001,19.607500,19.417500,19.514999,17.176960,1835600
2012-10-03,19.562500,19.627501,19.475000,19.592501,17.245182,1003600
2012-10-04,19.660000,19.735001,19.632500,19.707500,17.346403,1931600
2012-10-05,19.785000,19.822500,19.625000,19.680000,17.322203,1510400
2012-10-08,19.622499,19.635000,19.555000,19.602501,17.253986,1350000
2012-10-09,19.570000,19.582500,19.377501,19.389999,17.066940,1071200
2012-10-10,19.382500,19.395000,19.237499,19.264999,16.956917,1344800
2012-10-11,19.400000,19.410000,19.254999,19.257500,16.950314,1035600
2012-10-12,19.290001,19.365000,19.200001,19.232500,16.928310,955600
2012-10-15,19.275000,19.405001,19.230000,19.385000,17.062538,568400
2012-10-16,19.469999,19.615000,19.457500,19.600000,17.251778,2631600
2012-10-17,19.582500,19.637501,19.552500,19.615000,17.264988,812800
2012-10-18,19.547501,19.607500,19.437500,19.502501,17.165962,3103200
2012-10-19,19.462500,19.462500,19.129999,19.155001,16.860104,1365600
2012-10-22,19.142500,19.207500,19.040001,19.195000,16.895309,2252800
2012-10-23,19.002501,19.030001,18.870001,18.937500,16.668653,5021600
2012-10-24,19.022499,19.032499,18.844999,18.879999,16.618048,2315600
2012-10-25,19.002501,19.025000,18.825001,18.912500,16.646646,1494800
2012-10-26,18.907499,18.997499,18.797501,18.924999,16.657654,4559200
2012-10-31,19.000000,19.002501,18.822500,18.907499,16.642250,8800000
2012-11-01,18.945000,19.142500,18.937500,19.105000,16.816082,1792800
2012-11-02,19.207500,19.207500,18.900000,18.912500,16.646646,1999600
2012-11-05,18.887501,19.012501,18.857500,18.975000,16.701666,2840800
2012-11-06,19.012501,19.170000,19.000000,19.092501,16.805088,3250400
2012-11-07,18.924999,18.932501,18.615000,18.707500,16.466209,3512000
2012-11-08,18.702499,18.760000,18.447500,18.450001,16.239565,2424400
2012-11-09,18.424999,18.657499,18.412500,18.500000,16.283569,3314400
2012-11-12,18.559999,18.600000,18.475000,18.522499,16.303371,4183600
2012-11-13,18.417500,18.652500,18.410000,18.467501,16.254969,1790400
2012-11-14,18.510000,18.535000,18.200001,18.235001,16.050316,3036400
2012-11-15,18.235001,18.292500,18.122499,18.197500,16.017321,5672800
2012-11-16,18.215000,18.330000,18.075001,18.295000,16.103134,2152800
2012-11-19,18.490000,18.674999,18.485001,18.670000,16.433203,3062800
2012-11-20,18.657499,18.705000,18.527500,18.677500,16.439806,3016000
2012-11-21,18.692499,18.735001,18.665001,18.722500,16.479418,1935200
2012-11-23,18.815001,18.975000,18.792500,18.965000,16.692865,620400
2012-11-26,18.877501,18.945000,18.822500,18.945000,16.675257,3652000
2012-11-27,18.910000,18.977501,18.842501,18.860001,16.600441,2420400
2012-11-28,18.767500,19.010000,18.687500,19.000000,16.723667,1814400
2012-11-29,19.084999,19.135000,18.997499,19.090000,16.802883,3043600
2012-11-30,19.090000,19.117500,19.020000,19.075001,16.789680,2638400
2012-12-03,19.167500,19.184999,18.975000,18.987499,16.712662,4366400
2012-12-04,18.967501,19.035000,18.912500,18.950001,16.679659,5740400
2012-12-05,18.967501,18.995001,18.777500,18.897499,16.633448,2376400
2012-12-06,18.885000,18.995001,18.850000,18.977501,16.703867,1128000
2012-12-07,19.055000,19.072500,18.924999,18.992500,16.717062,1714000
2012-12-10,18.967501,19.067499,18.967501,19.010000,16.732475,2110800
2012-12-11,19.100000,19.254999,19.082500,19.162500,16.866699,2081600
2012-12-12,19.225000,19.270000,19.112499,19.139999,16.846895,2675200
2012-12-13,19.125000,19.174999,18.959999,19.014999,16.736868,2502000
2012-12-14,18.947500,18.975000,18.870001,18.900000,16.635647,3931600
2012-12-17,18.932501,19.100000,18.932501,19.100000,16.811691,1853200
2012-12-18,19.137501,19.330000,19.102501,19.307501,16.994328,2599200
2012-12-19,19.217501,19.217501,19.047501,19.055000,16.872576,2806800
2012-12-20,19.059999,19.117500,18.982500,19.117500,16.927917,5714400
2012-12-21,18.870001,19.000000,18.855000,18.967501,16.795095,3443200
2012-12-24,18.920000,18.957500,18.907499,18.924999,16.757465,1502400
2012-12-26,18.965000,18.965000,18.764999,18.815001,16.660067,2270800
2012-12-27,18.837500,18.867500,18.587500,18.809999,16.655630,5163200
2012-12-28,18.687500,18.790001,18.597500,18.597500,16.467478,3622800
2012-12-31,18.580000,18.952499,18.547501,18.934999,16.766325,6677600
2013-01-02,19.290001,19.440001,19.250000,19.440001,17.213474,4800000
2013-01-03,19.432501,19.469999,19.332500,19.387501,17.166996,3217200
2013-01-04,19.410000,19.457500,19.347500,19.422501,17.197989,2346800
2013-01-07,19.357500,19.400000,19.315001,19.382500,17.162565,1923600
2013-01-08,19.350000,19.395000,19.264999,19.352501,17.136002,2125200
2013-01-09,19.385000,19.452499,19.367500,19.402500,17.180271,4920000
2013-01-10,19.504999,19.532499,19.379999,19.527500,17.290956,2176400
2013-01-11,19.520000,19.552500,19.485001,19.545000,17.306456,1574400
2013-01-14,19.497499,19.530001,19.447500,19.492500,17.259962,2542400
2013-01-15,19.402500,19.482500,19.372499,19.450001,17.222332,1989600
2013-01-16,19.437500,19.517500,19.420000,19.485001,17.253330,2032400
2013-01-17,19.577499,19.667500,19.535000,19.600000,17.355152,3167600
2013-01-18,19.580000,19.642500,19.497499,19.627501,17.379509,2291600
2013-01-22,19.627501,19.684999,19.557501,19.684999,17.430418,1248000
2013-01-23,19.717501,19.767500,19.690001,19.747499,17.485764,5494400
2013-01-24,19.665001,19.790001,19.632500,19.682501,17.428204,1844800
2013-01-25,19.732500,19.795000,19.692499,19.775000,17.510115,1565600
2013-01-28,19.799999,19.799999,19.695000,19.752501,17.490191,1456000
2013-01-29,19.700001,19.842501,19.660000,19.809999,17.541100,2156400
2013-01-30,19.807501,19.855000,19.717501,19.742500,17.481335,1612400
2013-01-31,19.727501,19.799999,19.670000,19.682501,17.428204,2542800
2013-02-01,19.815001,19.895000,19.760000,19.862499,17.587589,2606000
2013-02-04,19.760000,19.790001,19.612499,19.627501,17.379509,2060800
2013-02-05,19.719999,19.897499,19.715000,19.840000,17.567671,1907200
2013-02-06,19.799999,19.885000,19.782499,19.852501,17.578735,1674800
2013-02-07,19.862499,19.875000,19.680000,19.842501,17.569881,1950800
2013-02-08,19.900000,19.990000,19.885000,19.977501,17.689415,1532000
2013-02-11,19.967501,19.987499,19.922501,19.967501,17.680567,1756400
2013-02-12,19.969999,20.004999,19.940001,19.952499,17.667282,1291200
2013-02-13,20.000000,20.040001,19.912500,19.977501,17.689415,1452000
2013-02-14,19.932501,20.020000,19.905001,19.995001,17.704920,4564800
2013-02-15,20.017500,20.055000,19.932501,20.004999,17.713768,1529600
2013-02-19,20.040001,20.152500,20.037500,20.152500,17.844376,1680800
2013-02-20,20.135000,20.142500,19.889999,19.889999,17.611944,1769200
2013-02-21,19.832500,19.832500,19.690001,19.752501,17.490191,2803600
2013-02-22,19.847500,19.932501,19.790001,19.932501,17.649572,1674000
2013-02-25,20.037500,20.077499,19.600000,19.600000,17.355152,2005600
2013-02-26,19.674999,19.760000,19.575001,19.742500,17.481335,3298800
2013-02-27,19.737499,20.037500,19.707500,19.959999,17.673922,2504400
2013-02-28,19.965000,20.094999,19.915001,19.915001,17.634079,10520800
2013-03-01,19.865000,20.027500,19.785000,20.007500,17.715982,6012000
2013-03-04,19.962500,20.105000,19.937500,20.105000,17.802320,2874400
2013-03-05,20.207500,20.357500,20.205000,20.317499,17.990479,2210000
2013-03-06,20.382500,20.392500,20.280001,20.322500,17.994902,2572800
2013-03-07,20.342501,20.372499,20.309999,20.350000,18.019251,1069200
2013-03-08,20.432501,20.450001,20.312500,20.417500,18.079021,2928400
2013-03-11,20.405001,20.490000,20.382500,20.490000,18.143221,4040000
2013-03-12,20.472500,20.485001,20.370001,20.427500,18.087881,2153200
2013-03-13,20.434999,20.485001,20.367500,20.447500,18.105587,2559200
2013-03-14,20.512501,20.547501,20.482500,20.540001,18.187492,1670400
2013-03-15,20.520000,20.540001,20.450001,20.497499,18.149858,1516000
2013-03-18,20.305000,20.495001,20.290001,20.422501,18.083450,2542000
2013-03-19,20.465000,20.487499,20.235001,20.382500,18.048035,3826000
2013-03-20,20.500000,20.562500,20.467501,20.530001,18.178640,1780800
2013-03-21,20.392500,20.462500,20.309999,20.340000,18.010401,2270800
2013-03-22,20.420000,20.522499,20.400000,20.517500,18.167564,1913200
2013-03-25,20.510000,20.535000,20.280001,20.367500,18.106680,3152400
2013-03-26,20.442499,20.542500,20.434999,20.540001,18.260031,2724800
2013-03-27,20.420000,20.540001,20.377501,20.535000,18.255583,2466000
2013-03-28,20.517500,20.625000,20.495001,20.594999,18.308922,1542800
2013-04-01,20.597500,20.625000,20.455000,20.502501,18.226685,3063600
2013-04-02,20.577499,20.667500,20.549999,20.620001,18.331150,2087200
2013-04-03,20.647499,20.667500,20.387501,20.445000,18.175579,1466000
2013-04-04,20.469999,20.547501,20.405001,20.492500,18.217798,1836000
2013-04-05,20.242500,20.379999,20.200001,20.372499,18.111120,2045200
2013-04-08,20.377501,20.504999,20.322500,20.497499,18.222244,1258400
2013-04-09,20.540001,20.632500,20.469999,20.565001,18.282249,1935600
