Date,Open,High,Low,Close,Adj Close,Volume
2012-05-21,187.361374,189.225616,186.070740,189.063095,129.514343,4007958
2012-05-22,189.330780,189.541107,187.437866,188.164429,128.898697,3731187
2012-05-23,186.931168,187.848953,184.703629,187.495224,128.440308,4288600
2012-05-24,187.370941,187.648178,185.468445,187.466537,128.420609,3733488
2012-05-25,186.529633,187.380493,185.468445,185.755264,127.248398,3035387
2012-05-29,186.634796,189.369019,186.634796,187.820267,128.662903,3784951
2012-05-30,186.233276,186.873810,185.248566,185.975143,127.398972,3768215
2012-05-31,185.564056,186.357559,183.556412,184.416824,126.331451,9714725
2012-06-01,181.759079,183.288712,180.305923,180.764816,123.829735,5445894
2012-06-04,180.057358,181.051620,178.776291,180.248566,123.476059,4837227
2012-06-05,179.655838,181.500961,179.311661,180.879547,123.908325,3720099
2012-06-06,182.390060,185.468445,181.663483,185.458893,127.045326,3808800
2012-06-07,186.692154,187.217972,185.411087,185.889099,127.340027,3871351
2012-06-08,185.191208,186.558319,184.225616,186.558319,127.798454,2593243
2012-06-11,187.954117,188.049713,183.910141,184.043976,126.076065,3423872
2012-06-12,183.690247,186.108994,183.690247,185.994263,127.412102,3162790
2012-06-13,185.812622,186.606125,183.891006,184.608032,126.462448,3397094
2012-06-14,184.512421,187.217972,184.263855,186.520081,127.772270,3749910
2012-06-15,187.456985,190.506699,186.806885,190.344162,130.391876,6682894
2012-06-18,188.881454,190.860428,188.499039,189.569794,129.861420,3534329
2012-06-19,190.086044,191.195023,190.057358,190.181641,130.280594,3449290
2012-06-20,189.961761,190.956024,188.814529,190.038239,130.182343,3533597
2012-06-21,190.315491,190.678772,184.694077,184.885284,126.652405,4515164
2012-06-22,185.344162,186.309753,184.722748,185.181641,126.855408,9228858
2012-06-25,184.015289,184.885284,183.250473,184.378586,126.305313,3359334
2012-06-26,185.028687,185.162521,182.361374,183.508606,125.709343,3593951
2012-06-27,183.690247,185.181641,182.504776,184.512421,126.396957,2889784
2012-06-28,182.820267,183.632889,180.592728,182.982788,125.349129,4149796
2012-06-29,185.994263,187.198853,183.948380,186.978973,128.086609,5501542
2012-07-02,187.724670,188.527725,186.281067,187.217972,128.250351,2957042
2012-07-03,186.864243,187.705551,186.338425,187.313583,128.315826,1517118
2012-07-05,186.309753,188.193115,185.114716,186.701721,127.896683,2813949
2012-07-06,185.391968,185.411087,181.395798,182.992355,125.355637,5180733
2012-07-09,182.370941,182.600388,179.780121,181.328873,124.216125,4171553
2012-07-10,181.931168,182.734222,177.437866,178.068832,121.982910,4906054
2012-07-11,178.030594,179.120453,175.439774,177.103256,121.321472,5707081
2012-07-12,176.147232,176.281067,173.852768,175.038239,119.906853,5158140
2012-07-13,175.391968,178.135757,174.980881,177.829834,121.819153,4113918
2012-07-16,177.418732,177.915863,176.462708,176.663483,121.020187,3289042
2012-07-17,177.562134,178.097519,175.143402,175.573608,120.273582,5395896
2012-07-18,176.051620,180.296371,175.478012,179.971313,123.286194,8388397
